timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat_i,quat_j,quat_k,quat_real,switch_state,state_change
152954096,-1.187500,-2.031250,9.925781,0.199219,-0.009766,-0.398438,-9.750000,1.250000,-36.500000,0.006531,0.123352,-0.758728,0.639587,False,False
471435543,-0.957031,0.765625,6.742188,2.882813,1.119141,0.275391,-1.750000,-10.687500,-35.750000,0.135132,0.047607,-0.805847,0.574585,False,False
730346678,-1.914063,3.523438,7.351563,-0.435547,0.273438,-0.089844,3.375000,-19.375000,-30.312500,0.214966,-0.014099,-0.817932,0.533508,False,False
987060543,-1.265625,2.144531,8.238281,0.072266,0.625000,-0.246094,4.375000,-16.500000,-31.375000,0.239685,0.035950,-0.807495,0.537781,False,False
1258056630,-6.472656,1.378906,9.648438,-0.148438,0.123047,-0.044922,13.125000,-14.562500,-32.937500,0.255127,0.091492,-0.830261,0.487000,False,False
1511596678,-3.562500,-0.152344,5.781250,0.363281,-0.175781,-0.601563,11.562500,-13.250000,-33.375000,0.222656,0.073547,-0.869873,0.434021,False,False
1769042962,-2.757813,0.382813,10.152344,-0.292969,-0.394531,-0.732422,20.125000,-11.875000,-32.937500,0.241760,0.066406,-0.935425,0.249146,False,False
2166503899,-4.597656,0.574219,7.656250,0.005859,-0.496094,-0.896484,11.500000,-5.312500,-36.062500,0.112000,0.078186,-0.973999,0.180725,False,False
2422973634,-3.601563,0.957031,8.578125,1.101563,0.689453,-0.744141,11.125000,-6.562500,-38.250000,0.102295,0.068054,-0.978149,0.167786,False,False
2681518553,-3.906250,-0.917969,10.875000,-0.582031,-0.384766,-0.453125,12.625000,-7.687500,-37.125000,0.169800,0.063904,-0.976990,0.111938,False,False
2930786134,-2.144531,-0.382813,8.316406,-0.353516,1.447266,0.224609,16.500000,-5.500000,-37.062500,0.163086,0.075806,-0.977295,0.111938,False,False
3183227534,-1.492188,-2.679688,9.226563,1.099609,-0.109375,0.228516,18.187500,-8.500000,-35.750000,0.170471,0.114746,-0.975281,0.081360,False,False
3436767568,-4.406250,-1.417969,8.195313,0.337891,-0.222656,0.142578,22.312500,-4.625000,-32.500000,0.178345,0.094971,-0.975769,0.084167,False,False
3807739259,-4.597656,2.261719,7.550781,1.042969,-0.298828,-0.025391,24.687500,-17.062500,-26.187500,0.286621,-0.047546,-0.949524,0.118347,False,False
4066894524,-4.214844,1.722656,8.039063,0.804688,-1.103516,-0.177734,19.250000,-19.687500,-29.187500,0.216370,-0.089233,-0.966064,0.109314,False,False
4325927731,-1.839844,2.261719,8.421875,1.298828,0.308594,0.001953,17.250000,-19.875000,-28.625000,0.196167,-0.093994,-0.971619,0.093079,False,False
4579711909,-4.328125,2.296875,8.160156,0.664063,0.527344,-0.056641,17.437500,-20.312500,-29.750000,0.192688,-0.143494,-0.968689,0.062317,False,False
4896118159,-5.476563,4.636719,6.242188,0.404297,0.125000,-0.634766,25.937500,-23.500000,-22.250000,-0.255432,0.216492,0.939941,0.066467,False,False
5156616202,-4.175781,5.324219,6.281250,-0.107422,0.500000,-0.423828,27.875000,-22.625000,-17.500000,-0.306824,0.263489,0.910522,0.085571,False,False
5415527337,-5.898438,3.714844,6.929688,0.150391,0.214844,-0.023438,28.625000,-24.250000,-12.812500,-0.324036,0.270752,0.902222,0.087952,False,False
5791137697,-5.324219,3.984375,6.894531,0.380859,-0.527344,-0.437500,30.875000,-20.125000,-19.062500,-0.317871,0.270508,0.903198,0.099976,False,False
6045288077,-5.054688,3.867188,7.433594,-0.082031,-0.025391,0.144531,30.062500,-20.437500,-18.687500,-0.242737,0.274780,0.903870,0.220520,False,False
6309326168,-5.132813,3.066406,7.089844,-0.396484,-0.072266,0.238281,28.500000,-19.875000,-18.125000,-0.228638,0.254456,0.918701,0.197510,False,False
6562622072,-4.941406,3.945313,7.429688,0.103516,0.076172,-0.042969,28.312500,-21.000000,-18.875000,-0.223816,0.270081,0.912598,0.210083,False,False
6811645509,-5.093750,4.214844,6.933594,0.300781,0.250000,0.742188,28.062500,-22.500000,-15.750000,-0.236450,0.291443,0.909729,0.177612,False,False
7078369130,-4.636719,5.285156,4.671875,0.484375,0.550781,0.455078,22.125000,-29.875000,-11.687500,-0.233887,0.306824,0.907227,0.167664,False,False
7337036134,-3.984375,6.781250,5.054688,0.337891,0.089844,0.388672,21.062500,-32.500000,-7.875000,-0.231812,0.491638,0.837708,0.052795,False,False
7706298818,-2.910156,10.035156,1.457031,-0.388672,0.273438,-0.091797,10.500000,-35.187500,2.250000,-0.192749,0.531677,0.823608,0.042786,False,False
7964843750,-3.332031,9.421875,2.375000,-0.691406,0.949219,-0.021484,10.312500,-35.062500,3.687500,-0.228821,0.521484,0.821838,0.017578,False,False
8224487303,-4.789063,5.632813,2.070313,0.505859,0.291016,-0.382813,14.187500,-33.750000,1.562500,-0.261902,0.540222,0.794250,0.093079,False,False
8483398437,-5.441406,4.789063,2.488281,-0.976563,0.001953,-0.998047,17.625000,-31.875000,6.187500,-0.299011,0.544373,0.777771,0.096619,False,False
8736206053,-6.089844,6.468750,1.074219,-0.021484,0.328125,-0.058594,21.937500,-29.562500,9.000000,-0.316467,0.556335,0.754517,0.144958,False,False
8998657221,-6.015625,6.628906,0.765625,0.500000,0.328125,-0.802734,21.500000,-27.875000,10.937500,-0.335510,0.580933,0.724731,0.157410,False,False
9258178702,-5.593750,7.585938,-1.109375,-0.375000,0.083984,-0.806641,21.562500,-24.437500,16.750000,-0.328613,0.622253,0.684937,0.188660,False,False
9644042962,-6.785156,6.628906,0.382813,-2.808594,-0.033203,-0.644531,29.000000,-22.812500,8.562500,-0.309265,0.646606,0.670532,0.191467,False,False
9895996087,-8.042969,3.867188,0.460938,0.310547,0.216797,0.175781,31.625000,-19.562500,12.000000,-0.406738,0.533691,0.687256,0.278198,False,False
10155395509,-7.933594,3.832031,0.882813,-0.480469,-0.169922,-0.062500,32.750000,-17.125000,10.625000,-0.409485,0.529419,0.678589,0.302612,False,False
10417846678,-8.078125,5.476563,1.148438,-0.019531,0.083984,-0.025391,31.062500,-19.562500,11.000000,-0.366150,0.543335,0.695984,0.293884,False,False
10677246087,-8.011719,5.093750,0.804688,0.093750,-0.130859,-0.289063,32.812500,-19.125000,8.750000,-0.373840,0.541992,0.686279,0.309143,False,False
10932373043,-7.812500,3.449219,0.421875,0.117188,0.041016,-0.119141,32.687500,-18.750000,9.125000,-0.394104,0.538147,0.661682,0.342529,False,False
11181518553,-7.695313,4.328125,1.648438,-0.007813,0.308594,-0.199219,34.625000,-15.562500,9.750000,-0.387451,0.526367,0.679810,0.332703,False,False
11579101562,-8.425781,4.328125,1.953125,0.236328,-0.156250,-0.019531,34.062500,-15.250000,8.125000,-0.386475,0.526917,0.663330,0.364624,False,False
11836303702,-7.890625,4.828125,1.378906,0.044922,0.037109,-0.121094,33.062500,-18.062500,8.812500,-0.376770,0.532959,0.668396,0.356689,False,False
12097900380,-8.464844,3.753906,1.648438,0.244141,-0.062500,-0.099609,34.750000,-15.250000,8.750000,-0.376526,0.534302,0.652649,0.383057,False,False
12359985346,-9.425781,4.558594,0.304688,0.521484,-0.158203,-0.021484,35.000000,-13.437500,8.437500,-0.370300,0.538452,0.641846,0.401245,False,False
12682983390,-11.035156,2.261719,0.304688,-0.064453,0.134766,-0.175781,34.937500,-13.062500,8.500000,-0.411804,0.530151,0.580627,0.460632,True,True
12939453125,-8.816406,2.183594,1.839844,-0.287109,-0.125000,-0.052734,36.562500,-5.937500,10.562500,-0.399963,0.512268,0.605164,0.459717,True,False
13192871087,-8.660156,0.496094,1.878906,-0.074219,0.000000,-1.136719,38.000000,2.625000,8.062500,-0.474609,0.438660,0.542358,0.536804,False,True
13577148437,-9.117188,0.039063,1.914063,0.015625,0.175781,0.085938,33.375000,4.187500,17.375000,-0.471863,0.447449,0.548157,0.526001,False,False
13834838865,-9.500000,-0.843750,1.265625,-0.140625,-0.128906,-0.324219,34.250000,3.375000,16.812500,-0.495483,0.439392,0.522217,0.537415,False,False
14090942384,-9.960938,-1.265625,1.761719,0.281250,-0.843750,0.570313,35.750000,-1.625000,10.875000,-0.441284,0.421204,0.585083,0.534363,False,False
14359741202,-8.421875,0.917969,3.484375,-0.425781,0.675781,0.371094,36.312500,-6.812500,8.875000,-0.424927,0.442200,0.608032,0.504150,False,False
14623779293,-8.351563,1.109375,4.097656,-0.302734,0.343750,-0.162109,34.875000,-7.250000,12.562500,-0.460388,0.422668,0.621948,0.471741,False,False
14883666990,-9.769531,0.574219,-0.269531,0.041016,0.537109,0.058594,34.875000,-6.562500,12.250000,-0.501770,0.442993,0.601685,0.435852,False,False
15145019524,-9.156250,1.109375,-0.613281,0.570313,0.308594,-0.039063,29.875000,-4.062500,22.750000,-0.527954,0.495789,0.543640,0.424194,False,False
15531005856,-9.382813,1.226563,-1.109375,0.136719,0.007813,-0.091797,30.125000,-5.187500,23.062500,-0.525085,0.509277,0.522949,0.437561,False,False
15789306630,-9.500000,0.230469,-0.882813,0.093750,-0.099609,0.009766,30.187500,-2.937500,24.375000,-0.524841,0.509949,0.520020,0.440552,False,False
16041503899,-9.304688,0.574219,-0.421875,-0.009766,-0.027344,-0.011719,30.812500,-3.500000,22.437500,-0.513367,0.512268,0.516052,0.455750,False,False
16302368159,-9.347656,0.535156,-0.343750,0.001953,0.001953,-0.021484,30.562500,-2.937500,24.312500,-0.509705,0.506836,0.519287,0.462219,False,False
16565917962,-9.582031,0.496094,-0.382813,-0.052734,0.017578,-0.031250,30.000000,-2.375000,25.875000,-0.520874,0.495667,0.525635,0.454590,False,False
16822143553,-9.730469,0.535156,0.000000,0.330078,-0.693359,0.169922,30.375000,-2.437500,22.937500,-0.512207,0.482117,0.540588,0.461487,False,False
17092773437,-7.429688,3.027344,2.835938,0.337891,0.183594,0.380859,36.562500,-10.625000,10.125000,-0.367493,0.496338,0.591125,0.518799,False,False
17486206053,-16.816406,-0.382813,5.898438,-0.283203,0.609375,-0.269531,36.500000,-10.812500,7.562500,-0.363647,0.489380,0.599731,0.518250,False,False
17741210937,-10.000000,1.839844,3.601563,1.164063,1.140625,-0.611328,36.250000,-9.375000,8.812500,-0.390198,0.463745,0.615723,0.503540,False,False
18003417962,-9.808594,0.574219,0.078125,0.742188,0.589844,-0.580078,26.750000,6.750000,32.750000,-0.399353,0.677979,0.321411,0.526794,False,False
18265380856,-15.281250,3.906250,-0.496094,1.082031,0.248047,-0.332031,33.750000,0.687500,26.062500,-0.271545,0.630981,0.415527,0.596191,False,False
18533325197,-4.593750,2.718750,1.531250,-1.843750,0.886719,-0.962891,35.812500,-10.937500,8.750000,-0.232239,0.609558,0.442322,0.615479,False,False
18796875000,-6.781250,-1.953125,-0.726563,1.855469,1.048828,-1.234375,35.187500,-6.750000,12.812500,-0.256226,0.558228,0.534790,0.580261,False,False
19052734375,-7.351563,3.066406,-0.574219,0.310547,1.066406,-0.648438,27.312500,2.875000,29.125000,-0.423584,0.639648,0.396118,0.504456,False,False
19462890625,-10.109375,-0.496094,-0.113281,0.376953,0.160156,-0.625000,33.750000,-6.937500,14.437500,-0.297424,0.570374,0.530823,0.551819,False,False
19726806630,-14.714844,7.625000,7.625000,0.601563,0.058594,0.597656,33.625000,-15.125000,11.562500,-0.353760,0.470642,0.665527,0.458679,False,False
19995605462,-9.382813,6.281250,-0.726563,-0.462891,1.195313,-0.716797,33.187500,-17.375000,10.000000,-0.385010,0.552002,0.574158,0.466248,False,False
20324096678,-11.074219,3.218750,-0.765625,0.671875,1.205078,-0.701172,23.937500,-5.687500,33.937500,-0.486023,0.596558,0.442993,0.460083,False,False
20585449212,-10.187500,1.187500,0.765625,-0.099609,-1.107422,0.935547,24.312500,-5.625000,30.562500,-0.321472,0.578613,0.554932,0.503906,False,False
20842895509,-5.980469,0.804688,-0.535156,-2.460938,-0.357422,0.416016,29.750000,-13.125000,14.000000,-0.347229,0.529175,0.635681,0.441956,False,False
21104614259,-8.582031,5.210938,-0.152344,-0.978516,0.970703,-0.845703,27.000000,-12.750000,17.250000,-0.421387,0.527893,0.609863,0.414490,False,False
21496215822,-10.000000,3.066406,-1.648438,0.486328,-0.011719,-0.060547,25.750000,-10.312500,20.125000,-0.544006,0.541260,0.500732,0.400452,False,False
21759887697,-13.371094,4.710938,-1.570313,1.101563,-1.000000,1.117188,27.000000,-9.750000,18.937500,-0.380920,0.547607,0.595764,0.447327,False,False
22015258784,-9.425781,2.261719,-1.300781,-0.794922,0.160156,0.300781,25.500000,-14.812500,20.562500,-0.457703,0.489258,0.655457,0.348694,False,False
22274536134,-8.238281,1.339844,0.039063,-1.371094,0.642578,-0.205078,24.812500,-16.312500,23.437500,-0.568481,0.387512,0.680969,0.250793,False,False
22535278322,-10.386719,3.562500,-0.421875,-1.617188,0.201172,-0.289063,23.750000,-19.312500,15.875000,-0.636597,0.297424,0.692810,0.162109,False,False
22801147452,-9.039063,2.910156,-1.722656,-1.832031,0.507813,-0.134766,25.125000,-20.812500,11.562500,-0.649231,0.265930,0.698792,0.139465,False,False
23057739259,-9.156250,1.761719,-1.914063,-2.277344,0.435547,-0.562500,28.062500,-16.625000,-5.000000,0.702576,0.162231,-0.654419,0.227661,False,False
23448974606,-10.191406,0.957031,-3.867188,-0.419922,-1.107422,1.228516,28.437500,-13.250000,-5.812500,0.577759,0.280273,-0.611328,0.462463,False,False
23716674803,-5.746094,-0.230469,1.953125,-1.492188,0.134766,1.167969,21.500000,-9.375000,-12.562500,0.528381,0.310547,-0.502380,0.609924,False,False
23973876943,-3.484375,-5.636719,3.714844,-0.669922,0.068359,0.072266,24.125000,-8.625000,-11.250000,0.508057,0.342957,-0.465637,0.638245,False,False
24230590822,-8.355469,2.335938,-0.652344,0.123047,1.257813,-0.642578,30.125000,-2.625000,-3.625000,0.539368,0.448303,-0.466492,0.539001,True,True
24494140625,-14.015625,5.667969,-0.996094,0.103516,-0.861328,0.435547,31.687500,0.937500,-1.312500,0.561462,0.498901,-0.479309,0.454102,False,True
24757324212,-6.546875,1.570313,-0.726563,-0.498047,-0.500000,1.306641,28.000000,-11.687500,-16.687500,0.548462,0.306702,-0.480957,0.611389,True,True
25130249015,-5.214844,0.269531,-1.074219,1.626953,0.527344,-1.794922,28.937500,-9.500000,-15.125000,0.506836,0.367249,-0.387573,0.676758,False,True
